"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Zarah Sultana","@zarahsultana","Labour","Coventry South",107517,606
"Yvonne Fovargue ","@Y_FovargueMP","Labour","Makerfield",13215,15
"Yvette Cooper ","@YvetteCooperMP","Labour","Normanton, Pontefract and Castleford",302338,23
"Yasmin Qureshi ","@YasminQureshiMP","Labour","Bolton South East",21572,4
"William Wragg ","@William_Wragg","Conservative","Hazel Grove",13519,2
"William Cash ","@BillCashMP","Conservative","Stone",21286,-38
"Will Quince ","@willquince","Conservative","Colchester",16475,1
"Wes Streeting ","@wesstreeting","Labour","Ilford North",72204,135
"Wera Hobhouse","@Wera_Hobhouse","Liberal Democrat","Bath",20234,8
"Wendy Morton ","@morton_wendy","Conservative","Aldridge-Brownhills",12985,22
"Wendy Chamberlain","@wendychambLD","Liberal Democrat","North East Fife",5278,6
"Wayne David ","@WayneDavid_MP","Labour","Caerphilly",13729,8
"Virendra Sharma ","@VirendraSharma","Labour","Ealing, Southall",19077,15
"Victoria Prentis ","@VictoriaPrentis","Conservative","Banbury",11592,6
"Vicky Foxcroft ","@vickyfoxcroft","Labour","Lewisham, Deptford",19475,19
"Vicky Ford","@vickyford","Conservative","Chelmsford",19240,334
"Valerie Vaz ","@Valerie_VazMP","Labour","Walsall South",6618,4
"Tulip Siddiq ","@TulipSiddiq","Labour","Hampstead and Kilburn",153793,215
"Tracy Brabin ","@TracyBrabin","Labour","Batley and Spen",53815,52
"Tracey Crouch ","@tracey_crouch","Conservative","Chatham and Aylesford",35727,7
"Tony Lloyd","@tony4rochdale","Labour","Rochdale",8891,-1
"Tonia Antoniazzi","@ToniaAntoniazzi","Labour","Gower",14265,13
"Tommy Sheppard ","@TommySheppard","Scottish National Party","Edinburgh East",34987,12
"Tom Tugendhat ","@TomTugendhat","Conservative","Tonbridge and Malling",55624,35
"Tom Randall","@Tom_Randall","Conservative","Gedling",3368,1
"Tom Pursglove ","@VotePursglove","Conservative","Corby",12739,-2
"Tom Hunt","@tomhunt1988","Conservative","Ipswich",8679,-3
"Toby Perkins ","@tobyperkinsmp","Labour","Chesterfield",27480,118
"Tobias Ellwood","@Tobias_Ellwood","Conservative","Bournemouth East",59769,4
"Tim Loughton ","@timloughton","Conservative","East Worthing and Shoreham",19597,4
"Tim Farron","@timfarron","Liberal Democrat","Westmorland and Lonsdale",284598,-17
"Theresa May ","@theresa_may","Conservative","Maidenhead",995180,-109
"Theo Clarke","@theodoraclarke","Conservative","Stafford",7009,5
"Thangam Debbonaire ","@ThangamMP","Labour","Bristol West",27232,23
"Tanmanjit Singh Dhesi","@TanDhesi","Labour","Slough",73398,37
"Taiwo Owatemi","@TaiwoOwatemi","Labour","Coventry North West",16804,33
"Tahir Ali","@TahirAliMP","Labour","Birmingham, Hall Green",2716,2
"Suzanne Webb","@Q66Suzi","Conservative","Stourbridge",3745,4
"Suella Fernandes ","@SuellaBraverman","Conservative","Fareham",30073,-23
"Stuart Paul Anderson","@Stuart4WolvesSW","Conservative","Wolverhampton South West",5839,1
"Stuart C. McDonald ","@Stuart_McDonald","Scottish National Party","Cumbernauld, Kilsyth and Kirkintilloch East",12943,24
"Stuart Andrew","@StuartAndrew","Conservative","Pudsey",19074,1
"Stewart Malcolm McDonald ","@StewartMcDonald","Scottish National Party","Glasgow South",32957,2
"Stewart Hosie ","@StewartHosieSNP","Scottish National Party","Dundee East",28325,5
"Steven Bonnar","@StevenBonnarSNP","Scottish National Party","Coatbridge, Chryston and Bellshill",3369,-1
"Steven Baker ","@SteveBakerHW","Conservative","Wycombe",102595,-122
"Steve Reed ","@SteveReedMP","Labour","Croydon North",33741,12
"Steve McCabe ","@steve_mccabe","Labour","Birmingham, Selly Oak",17990,16
"Steve Double ","@stevedouble","Conservative","St Austell and Newquay",14339,-2
"Steve Brine","@BrineMP","Conservative","Winchester",10758,3
"Stephen Timms ","@stephenctimms","Labour","East Ham",17102,11
"Stephen Morgan","@StephenMorganMP","Labour","Portsmouth South",12136,15
"Stephen Metcalfe ","@Metcalfe_SBET","Conservative","South Basildon and East Thurrock",6797,13
"Stephen McPartland ","@SMcPartland","Conservative","Stevenage",12723,20
"Stephen Kinnock ","@SKinnock","Labour","Aberavon",33944,-4
"Stephen Hammond","@S_Hammond","Conservative","Wimbledon",19479,4
"Stephen Flynn","@StephenFlynnSNP","Scottish National Party","Aberdeen South",4738,2
"Stephen Farry","@StephenFarryMP","Alliance Party of Northern Ireland","North Down",11611,11
"Stephen Doughty ","@SDoughtyMP","Labour","Cardiff South and Penarth",33914,34
"Stephen Crabb ","@SCrabbPembs","Conservative","Preseli Pembrokeshire",22854,-5
"Stephen Barclay ","@SteveBarclay","Conservative","North East Cambridgeshire",32055,-26
"Stephanie Peacock","@Steph_Peacock","Labour","Barnsley East",9347,8
"Stella Creasy ","@stellacreasy","Labour","Walthamstow",142015,23
"Siobhan Baillie","@Siobhan_Baillie","Conservative","Stroud",9719,1
"Siobhain McDonagh","@Siobhain_Mc","Labour","Mitcham and Morden",19933,52
"Simon Jupp","@simonjamesjupp","Conservative","East Devon",5490,-3
"Simon Hoare ","@Simon4NDorset","Conservative","North Dorset",15734,-2
"Simon Hart ","@Simonhartmp","Conservative","Carmarthen West and South Pembrokeshire",9382,10
"Simon Fell","@simonfell","Conservative","Barrow and Furness",3606,6
"Simon Clarke","@SimonClarkeMP","Conservative","Middlesbrough South and East Cleveland",16497,27
"Simon Baynes","@baynes_simon","Conservative","Clwyd South",4008,8
"Sheryll Murray ","@sheryllmurray","Conservative","South East Cornwall",18266,5
"Shaun Bailey","@Shaun4WBW","Conservative","West Bromwich West",3180,5
"Sharon Hodgson ","@SharonHodgsonMP","Labour","Washington and Sunderland West",34335,47
"Shailesh Vara","@ShaileshVara","Conservative","North West Cambridgeshire",4222,-3
"Shabana Mahmood ","@ShabanaMahmood","Labour","Birmingham, Ladywood",22028,23
"Selaine Saxby","@SelaineSaxby","Conservative","North Devon",3614,2
"Seema Malhotra ","@SeemaMalhotra1","Labour","Feltham and Heston",24595,23
"Scott Mann ","@scottmann4NC","Conservative","North Cornwall",8343,5
"Scott Lloyd Benton","@ScottBentonMP","Conservative","Blackpool South",3948,2
"Sarah Owen","@SarahOwen_","Labour","Luton North",16649,22
"Sarah Olney","@sarahjolney1","Liberal Democrat","Richmond Park",15741,5
"Sarah Jones","@LabourSJ","Labour","Croydon Central",18992,5
"Sarah Dines","@Dines4Dales","Conservative","Derbyshire Dales",1275,9
"Sarah Champion ","@SarahChampionMP","Labour","Rotherham",47089,-7
"Sarah Atherton","@AthertonNWales","Conservative","Wrexham",6388,6
"Sara Britcliffe","@SarBritcliffeMP","Conservative","Hyndburn",4570,5
"Saqib Bhatti","@bhatti_saqib","Conservative","Meriden",6857,2
"Sammy Wilson ","@eastantrimmp","Democratic Unionist Party","East Antrim",19847,3
"Sam Tarry","@SamTarry","Labour","Ilford South",20579,1
"Sally-Ann Hart","@SallyAnn1066","Conservative","Hastings and Rye",3075,10
"Sajid Javid ","@sajidjavid","Conservative","Bromsgrove",209947,-52
"Ruth Jones","@RuthNewportWest","Labour","Newport West",5576,7
"Ruth Edwards","@RuthEdwardsMP","Conservative","Rushcliffe",3764,5
"Ruth Cadbury ","@RuthCadbury","Labour","Brentford and Isleworth",22031,5
"Rushanara Ali ","@rushanaraali","Labour","Bethnal Green and Bow",42530,20
"Royston Smith ","@Royston_Smith","Conservative","Southampton, Itchen",7120,9
"Rosie Duffield","@RosieDuffield1","Labour","Canterbury",33300,172
"Rosie Cooper ","@rosie4westlancs","Labour","West Lancashire",13259,13
"Ronnie Cowan ","@ronniecowan","Scottish National Party","Inverclyde",12990,-2
"Roger Gale","@SirRogerGale","Conservative","North Thanet",6133,0
"Robin Walker ","@WalkerWorcester","Conservative","Worcester",14268,8
"Robin John Millar","@RobinMillarMP","Conservative","Aberconwy",2819,3
"Robert Syms ","@RobertSyms","Conservative","Poole",11183,1
"Robert Neill ","@neill_bob","Conservative","Bromley and Chislehurst",16850,7
"Robert Largan","@robertlargan","Conservative","High Peak",5770,7
"Robert Jenrick ","@RobertJenrick","Conservative","Newark",48483,28
"Robert Halfon ","@halfon4harlowMP","Conservative","Harlow",34396,19
"Robert Courts ","@robertcourts","Conservative","Witney",8881,7
"Robert Buckland ","@RobertBuckland","Conservative","South Swindon",27676,24
"Robbie Moore","@_RobbieMoore","Conservative","Keighley",4229,13
"Rob Butler","@AylesburyTories","Conservative","Aylesbury",1034,0
"Rishi Sunak","@RishiSunak","Conservative","Richmond (Yorks)",443890,196
"Richard Holden","@RicHolden","Conservative","North West Durham",7719,6
"Richard Graham ","@RichardGrahamUK","Conservative","Gloucester",12247,7
"Richard Gordon Thomson","@RThomsonMP","Scottish National Party","Gordon",2724,0
"Richard Burgon ","@RichardBurgon","Labour","Leeds East",122186,212
"Richard Bacon","@richardbaconmp","Conservative","South Norfolk",1435,1
"Rehman Chishti ","@Rehman_Chishti","Conservative","Gillingham and Rainham",18894,-5
"Rebecca Pow ","@pow_rebecca","Conservative","Taunton Deane",12849,4
"Rebecca Long-Bailey","@RLong_Bailey","Labour","Salford and Eccles",181060,65
"Rebecca Harris ","@RebeccaHarrisMP","Conservative","Castle Point",6567,9
"Ranil Jayawardena ","@TeamRanil","Conservative","North East Hampshire",2007,-3
"Rachel Reeves ","@RachelReevesMP","Labour","Leeds West",97086,19
"Rachel Maclean","@redditchrachel","Conservative","Redditch",10334,-2
"Rachel Hopkins","@rach_hopkins","Labour","Luton South",6976,6
"Rachael Maskell ","@RachaelMaskell","Labour","York Central",27812,17
"Priti Patel ","@pritipatel","Conservative","Witham",302199,307
"Preet Gill","@PreetKGillMP","Labour","Birmingham, Edgbaston",31379,44
"Philip Dunne","@Dunne4Ludlow","Conservative","Ludlow",11144,6
"Philip Davies ","@PhilipDaviesUK","Conservative","Shipley",21032,-7
"Peter Kyle ","@peterkyle","Labour","Hove",38779,31
"Peter Grant ","@PeterGrantMP","Scottish National Party","Glenrothes",16738,-2
"Peter Gibson","@Gibbo4Darlo","Conservative","Darlington",2243,2
"Peter Dowd ","@Peter_Dowd","Labour","Bootle",15302,31
"Peter Bone ","@PeterBoneUK","Conservative","Wellingborough",38521,-47
"Peter Aldous ","@peter_aldous","Conservative","Waveney",10843,17
"Pete Wishart ","@PeteWishart","Scottish National Party","Perth and North Perthshire",48972,6
"Penny Mordaunt ","@PennyMordaunt","Conservative","Portsmouth North",72591,-15
"Pauline Latham ","@Pauline_Latham","Conservative","Mid Derbyshire",19390,52
"Paula Barker","@PaulaBarkerMP","Labour","Liverpool, Wavertree",12813,27
"Paul Scully ","@scullyp","Conservative","Sutton and Cheam",13821,8
"Paul Maynard ","@PaulMaynardUK","Conservative","Blackpool North and Cleveleys",18993,1
"Paul Maskey ","@PaulMaskeyMP","Sinn Féin","Belfast West",18210,6
"Paul Howell","@PaulHowellMP","Conservative","Sedgefield",2247,1
"Paul Holmes","@pauljholmes","Conservative","Eastleigh",6450,-2
"Paul Girvan","@PaulGirvanMP","Democratic Unionist Party","South Antrim",6133,0
"Paul Bristow","@paulbristow79","Conservative","Peterborough",8488,-5
"Paul Blomfield ","@PaulBlomfieldMP","Labour","Sheffield Central",21279,-2
"Patrick Grady ","@GradySNP","Scottish National Party","Glasgow North",16699,10
"Patricia Gibson ","@PGibsonSNP","Scottish National Party","North Ayrshire and Arran",13113,3
"Pat McFadden ","@patmcfaddenmp","Labour","Wolverhampton South East",24312,5
"Owen Thompson ","@OwenThompson","Scottish National Party","Midlothian",7131,-3
"Owen Paterson ","@OwenPaterson","Conservative","North Shropshire",48295,-5
"Órfhlaith Begley","@OrfhlaithBegley","Sinn Féin","West Tyrone",7502,6
"Olivia Frances Blake","@_OliviaBlake","Labour","Sheffield, Hallam",12945,11
"Oliver Heald QC ","@OliverHealdUK","Conservative","North East Hertfordshire",11497,-2
"Oliver Dowden","@OliverDowden","Conservative","Hertsmere",29138,8
"Nusrat Ghani ","@Nus_Ghani","Conservative","Wealden",20609,9
"Nigel Mills ","@nigelmills","Conservative","Amber Valley",4895,4
"Nigel Huddleston ","@HuddlestonNigel","Conservative","Mid Worcestershire",15460,8
"Nigel Evans","@nigelmp","Conservative","Ribble Valley",13781,-20
"Nigel Adams","@nadams","Conservative","Selby and Ainsty",9792,9
"Nicola Faye Richards","@Nicola4WBE","Conservative","West Bromwich East",6907,9
"Nickie Aiken","@twocitiesnickie","Conservative","Cities of London and Westminster",2155,4
"Nick Thomas-Symonds ","@NickTorfaen","Labour","Torfaen",28132,10
"Nick Smith ","@BlaenauGwentMP","Labour","Blaenau Gwent",9640,1
"Nick Gibb","@NickGibbUK","Conservative","Bognor Regis and Littlehampton",18093,10
"Nicholas Fletcher","@NickFletcherMP","Conservative","Don Valley",2379,3
"Nia Griffith ","@NiaGriffithMP","Labour","Llanelli",17642,8
"Neil Parish ","@neil_parish","Conservative","Tiverton and Honiton",6201,2
"Neil O'Brien","@NeilDotObrien","Conservative","Harborough",28196,205
"Neil Hudson","@DrNeilHudson","Conservative","Penrith and The Border",3006,-1
"Neil Gray ","@neilgraysnp","Scottish National Party","Airdrie and Shotts",14562,5
"Neil Coyle ","@coyleneil","Labour","Bermondsey and Old Southwark",25942,13
"Neale Hanvey","@JNHanvey","Scottish National Party","Kirkcaldy and Cowdenbeath",4649,4
"Naz Shah ","@NazShahBfd","Labour","Bradford West",44637,7
"Nav Mishra","@NavPMishra","Labour","Stockport",10264,19
"Natalie Elphicke","@NatalieElphicke","Conservative","Dover",5527,-2
"Nadia Whittome","@NadiaWhittomeMP","Labour","Nottingham East",62482,110
"Nadhim Zahawi ","@nadhimzahawi","Conservative","Stratford-on-Avon",44576,361
"Munira Wilson","@munirawilson","Liberal Democrat","Twickenham",12213,16
"Mohammad Yasin","@YasinForBedford","Labour","Bedford",2420,4
"Mims Davies ","@mimsdavies","Conservative","Mid Sussex",15689,8
"Mike Wood ","@mikejwood","Conservative","Dudley South",6362,7
"Mike Kane ","@MikeKaneMP","Labour","Wythenshawe and Sale East",11092,3
"Mike Hill","@MikeHillMP","Labour","Hartlepool",3110,3
"Mike Amesbury","@MikeAmesburyMP","Labour","Weaver Vale",10006,10
"Mickey Brady ","@MickeyBradySF","Sinn Féin","Newry and Armagh",4992,-1
"Mick Whitley","@MickWhitleyMP","Labour","Birkenhead",10375,11
"Michelle Gildernew","@gildernewm","Sinn Féin","Fermanagh and South Tyrone",19648,8
"Michelle Donelan ","@michelledonelan","Conservative","Chippenham",17009,17
"Michael Tomlinson ","@Michael4MDNP","Conservative","Mid Dorset and North Poole",10154,1
"Michael Gove ","@michaelgove","Conservative","Surrey Heath",212953,43
"Michael Fabricant ","@Mike_Fabricant","Conservative","Lichfield",39291,-27
"Michael Ellis ","@Michael_Ellis1","Conservative","Northampton North",13131,1
"Mhairi Black ","@MhairiBlack","Scottish National Party","Paisley and Renfrewshire South",191108,-1
"Mel Stride","@MelJStride","Conservative","Central Devon",5932,7
"Meg Hillier ","@Meg_HillierMP","Labour","Hackney South and Shoreditch",19832,5
"Matthew Pennycook ","@mtpennycook","Labour","Greenwich and Woolwich",21051,13
"Matthew Offord","@Offord4Hendon","Conservative","Hendon",9525,6
"Matthew Hancock ","@MattHancock","Conservative","West Suffolk",384902,605
"Matt Western","@MattWestern_","Labour","Warwick and Leamington",8059,2
"Matt Warman ","@mattwarman","Conservative","Boston and Skegness",19341,2
"Matt Vickers","@Matt_VickersMP","Conservative","Stockton South",5381,16
"Matt Rodda","@MattRodda","Labour","Reading East",6306,11
"Mary Robinson ","@MaryRobinson01","Conservative","Cheadle",9069,8
"Mary Glindon","@GlindonMary","Labour","North Tyneside",583,4
"Mary Foy","@marykfoy","Labour","City of Durham",11633,23
"Martyn Day ","@MartynDaySNP","Scottish National Party","Linlithgow and East Falkirk",10712,7
"Martin Vickers ","@MartinVickers","Conservative","Cleethorpes",12369,7
"Martin Docherty-Hughes","@MartinJDocherty","Scottish National Party","West Dunbartonshire",13478,0
"Marsha de Cordova","@MarshadeCordova","Labour","Battersea",37390,11
"Mark Tami ","@MarkTamiMP","Labour","Alyn and Deeside",9125,14
"Mark Spencer ","@Mark_Spencer","Conservative","Sherwood",16862,19
"Mark Pritchard ","@MPritchardUK","Conservative","The Wrekin",10407,-1
"Mark Pawsey ","@MarkPawsey","Conservative","Rugby",7195,3
"Mark Jenkinson","@markjenkinsonmp","Conservative","Workington",3952,3
"Mark Hendrick","@MpHendrick","Labour","Preston",4886,1
"Mark Harper ","@Mark_J_Harper","Conservative","Forest of Dean",23685,13
"Mark Garnier ","@Mark4WyreForest","Conservative","Wyre Forest",15798,2
"Mark Eastwood","@mark4dewsbury","Conservative","Dewsbury",4234,-2
"Marion Fellows ","@marionfellows","Scottish National Party","Motherwell and Wishaw",11755,6
"Marie Rimmer ","@MarieRimmer","Labour","St Helens South and Whiston",12791,19
"Maria Miller ","@MariaMillerUK","Conservative","Basingstoke",20976,4
"Maria Eagle ","@meaglemp","Labour","Garston and Halewood",48085,4
"Maria Caulfield ","@mariacaulfield","Conservative","Lewes",21215,-5
"Margaret Hodge ","@margarethodge","Labour","Barking",48197,6
"Margaret Greenwood ","@MGreenwoodWW","Labour","Wirral West",21309,9
"Margaret Ferrier ","@MargaretFerrier","Independent","Rutherglen and Hamilton West",16955,5
"Marcus Jones ","@Marcus4Nuneaton","Conservative","Nuneaton",9400,8
"Marcus Fysh ","@MarcusFysh","Conservative","Yeovil",15933,-5
"Marco Longhi","@marcolonghi4dn","Conservative","Dudley North",3197,-1
"Maggie Throup ","@maggie_erewash","Conservative","Erewash",1221,5
"Lyn Brown ","@lynbrownmp","Labour","West Ham",13059,13
"Luke Pollard","@LukePollard","Labour","Plymouth, Sutton and Devonport",30330,48
"Luke Hall ","@LukeHall","Conservative","Thornbury and Yate",4738,5
"Luke Evans","@drlukeevans","Conservative","Bosworth",8117,0
"Lucy Powell ","@LucyMPowell","Labour","Manchester Central",56933,25
